DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
13790,07/07/2020 12:42:00 PM,Calumet,855.0,644.0,742.0,,,,,,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
13837,07/07/2020 12:42:00 PM,North Avenue,2522.0,1165.0,1714.1,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
13756,07/07/2020 12:42:00 PM,Ohio Street,13.0,232.0,54.9,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
13754,07/07/2020 12:42:00 PM,South Shore,3009.0,7904.0,4876.8,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
13840,07/07/2020 12:42:00 PM,Leone,120.0,124.0,122.0,,,,,,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
13758,07/07/2020 12:42:00 PM,Hartigan (Albion),460.0,462.0,461.0,,,,,,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
13839,07/07/2020 12:42:00 PM,Osterman,1561.0,491.0,875.5,,,,,,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
13757,07/07/2020 12:42:00 PM,Montrose,1252.0,345.0,657.2,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
13834,07/07/2020 12:42:00 PM,Margaret T Burroughs (31st),1101.0,2413.0,1629.9,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
13792,07/07/2020 12:42:00 PM,63rd Street,10948.0,8334.0,9552.0,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,NA,,,,95499,07/17/2014 12:00:00 AM,14.0,4.0,7.5,,,,,,
,,NA,,,,107274,06/29/2012 12:00:00 AM,4.1,1.0,2.0,,,,,,
10788,06/07/2019 12:34:00 PM,Osterman,33.0,109.0,60.0,,,,,,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
10786,06/07/2019 12:32:00 PM,Margaret T Burroughs (31st),133.0,174.0,152.1,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
10789,06/07/2019 12:34:00 PM,Hartigan (Albion),76.0,94.0,84.5,,,,,,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
10787,06/07/2019 12:32:00 PM,12th Street,59.0,75.0,66.5,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
10746,06/07/2019 12:30:00 PM,Rainbow,7.0,18.0,11.2,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
10745,06/07/2019 12:29:00 PM,Calumet,60.0,142.0,92.3,,,,,,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
10769,06/07/2019 12:33:00 PM,Foster,152.0,55.0,91.4,,,,,,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
10790,06/07/2019 12:34:00 PM,Leone,56.0,55.0,55.5,,,,,,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
10768,06/07/2019 12:33:00 PM,Montrose,37.0,293.0,104.1,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
10765,06/07/2019 12:31:00 PM,57th Street,17.0,111.0,43.4,,,,,,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
10750,06/07/2019 12:35:00 PM,Marion Mahony Griffin (Jarvis),517.0,179.0,304.2,,,,,,,,,42.0161,-87.6647,"(42.0161, -87.6647)"
10749,06/07/2019 12:32:00 PM,Ohio Street,861.0,599.0,718.1,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
10767,06/07/2019 12:33:00 PM,North Avenue,172.0,135.0,152.4,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
10791,06/07/2019 12:35:00 PM,Rogers,29.0,225.0,80.8,,,,,,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
10748,06/07/2019 12:31:00 PM,63rd Street,109.0,120.0,114.4,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
10766,06/07/2019 12:32:00 PM,Oak Street,6.0,125.0,27.4,,,,,,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
10785,06/07/2019 12:31:00 PM,Oakwood,2.0,6.0,3.5,,,,,,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
10747,06/07/2019 12:31:00 PM,South Shore,127.0,118.0,122.4,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
10751,06/07/2019 12:35:00 PM,Howard,113.0,62.0,83.7,,,,,,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
10770,06/08/2019 11:46:00 AM,Calumet,378.0,1693.0,800.0,,,,,,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
,,NA,,,,103672,06/05/2006 12:00:00 AM,2.0,3.0,2.4,,,,,,
10808,06/08/2019 11:56:00 AM,Rogers,180.0,157.0,168.1,,,,,,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,NA,,,,96917,08/29/2013 12:00:00 AM,3.0,27.0,9.0,,,,,,
,,NA,,,,97921,07/07/2006 12:00:00 AM,40.2,51.2,45.4,,,,,,
,,NA,,,,90186,06/24/2011 12:00:00 AM,20.1,28.3,23.9,,,,,,
,,NA,,,,107974,08/15/2013 12:00:00 AM,2420.0,2420.0,2420.0,,,,,,
,,NA,,,,103758,06/19/2006 12:00:00 AM,10.8,1.0,3.3,,,,,,
10783,06/08/2019 11:54:00 AM,Osterman,46.0,16.0,27.1,,,,,,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
10807,06/08/2019 11:56:00 AM,Howard,94.0,36.0,58.2,,,,,,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
10777,06/08/2019 11:49:00 AM,12th Street,11.0,5.0,7.4,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
10780,06/08/2019 11:51:00 AM,North Avenue,135.0,300.0,201.2,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
10779,06/08/2019 11:50:00 AM,Oak Street,40.0,78.0,55.9,,,,,,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
10772,06/08/2019 11:47:00 AM,South Shore,1065.0,277.0,543.1,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
10771,06/08/2019 11:46:00 AM,Rainbow,338.0,65.0,148.2,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
10774,06/08/2019 11:47:00 AM,57th Street,66.0,90.0,77.1,,,,,,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
10784,06/08/2019 11:54:00 AM,Hartigan (Albion),63.0,65.0,64.0,,,,,,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
10782,06/08/2019 11:52:00 AM,Foster,115.0,74.0,92.2,,,,,,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
10775,06/08/2019 11:48:00 AM,Oakwood,98.0,92.0,95.0,,,,,,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
10773,06/08/2019 11:47:00 AM,63rd Street,569.0,55.0,176.9,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
10781,06/08/2019 11:51:00 AM,Montrose,26.0,112.0,54.0,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
10776,06/08/2019 11:48:00 AM,Margaret T Burroughs (31st),56.0,58.0,57.0,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
10805,06/08/2019 11:55:00 AM,Leone,765.0,864.0,813.0,,,,,,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
10806,06/08/2019 11:56:00 AM,Marion Mahony Griffin (Jarvis),901.0,244.0,468.9,,,,,,,,,42.0161,-87.6647,"(42.0161, -87.6647)"
10778,06/08/2019 11:49:00 AM,Ohio Street,13800.0,11230.0,12448.9,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
,,NA,,,,97121,07/27/2012 12:00:00 AM,86.0,77.1,81.4,,,,,,
,,NA,,,,104266,06/28/2006 12:00:00 AM,7.3,9.7,8.4,,,,,,
10682,06/09/2019 11:42:00 AM,Rainbow,332.0,407.0,367.6,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
